,youtube_id,original_label,normalized_label
330,nGzRH31zeEc,not about misinfo,0.0
331,ZZD_nbS1_II,not about misinfo,0.0
332,dEhxxGfB0NE,promoting,1.0
333,P0CnZlX0gXU,promoting,1.0
334,PUsIYF1PVBA,promoting,1.0
335,foTAzuHX9p4,promoting,1.0
336,wV_EaHHO5KU,not about misinfo,0.0
337,b6r6jdG-5kQ,promoting,1.0
338,Q3qC-V4Eyls,not about misinfo,0.0
339,7y8wgI301ys,not about misinfo,0.0
340,GzhdxSsoT0g,not about misinfo,0.0
341,tk_ZlWJ3qJI,not about misinfo,0.0
342,uXZZbiC2Y9M,debunking,-1.0
343,5bQzgrkI2j0,neutral,0.0
344,Vm1-DnxRiPM,not about misinfo,0.0
345,DfBzEAieaAM,not about misinfo,0.0
346,2lIwkbFWHZw,not about misinfo,0.0
347,-IO6zqIm88s,not about misinfo,0.0
348,nHD9xo325uE,not about misinfo,0.0
349,KllwtKMtYTA,not about misinfo,0.0
350,fg0c2x74mgU,promoting,1.0
351,ckM47o3ZnNI,not about misinfo,0.0
352,LBKeDBr2M3U,not about misinfo,0.0
353,6kzqrPPDfU0,neutral,0.0
354,7jTyvm27EsE,not about misinfo,0.0
355,Cj-SPFchBKI,not about misinfo,0.0
356,lEp3qxdMGmk,not about misinfo,0.0
357,_7qsxeQrKhg,not about misinfo,0.0
358,2Ar05F-LnWQ,not about misinfo,0.0
359,TvTjREdHO0I,not about misinfo,0.0
360,vWg0oBFRZPI,not about misinfo,0.0
361,QXE3SO05hxw,not about misinfo,0.0
362,SgOTaXhbqPQ,not about misinfo,0.0
363,LQHcTSn3Ync,not about misinfo,0.0
364,5RT4qIO27uw,promoting,1.0
365,DnRQJzK6yvI,not about misinfo,0.0
366,az6NibAUf7Y,not about misinfo,0.0
367,3gz3rYzqHyM,not about misinfo,0.0
368,pqmRZYoqhtc,not about misinfo,0.0
369,rtsHUeKnkC8,not about misinfo,0.0
370,Xz6ieh2e8S4,not about misinfo,0.0
371,VB_GWz25B3Q,debunking,-1.0
372,EYlMFhL6xno,not about misinfo,0.0
373,OoYikXvnU6M,not about misinfo,0.0
374,QqjZSHIKWzE,not about misinfo,0.0
375,n1QEj09Pe6k,not about misinfo,0.0
376,mqPMANOEG7Y,not about misinfo,0.0
377,_WExkVQF7HE,not about misinfo,0.0
378,Oviz_hrWcC8,debunking,-1.0
379,PwP8yoVmGo4,debunking,-1.0
380,wqeiulMB9sA,not about misinfo,0.0
381,PDkvrWt7qN8,not about misinfo,0.0
382,_53cGxAUuDk,promoting,1.0
383,jt7-rZ0TQvs,debunking,-1.0
384,HvU8zamR6hg,not about misinfo,0.0
385,e6l6k76cFqM,not about misinfo,0.0
386,WzOztCZHJ08,not about misinfo,0.0
387,wAyqGCEIFGU,not about misinfo,0.0
388,ota57uxa-wo,not about misinfo,0.0
389,t6rHHnABoT8,debunking,-1.0
390,CozYL-_ttEc,not about misinfo,0.0
391,pL3Yzjk5R4M,not about misinfo,0.0
392,VNvzZfsC13o,not about misinfo,0.0
393,TzdpwM9YdHI,not about misinfo,0.0
394,MrWYg5ffbqM,not about misinfo,0.0
395,MlYsm68RvOQ,not about misinfo,0.0
396,jdVso9FSkmE,promoting,1.0
397,fJOyCosRpsM,neutral,0.0
398,a9Jli0D1uEM,not about misinfo,0.0
399,HIVLrTSNP6s,neutral,0.0
400,dXtNco_oA_Y,not about misinfo,0.0
401,rZnjFbujpok,not about misinfo,0.0
402,nfdCnPZGwt0,debunking,-1.0
403,aYBEcFvI8o8,not about misinfo,0.0
404,gBdIgWPqSxM,debunking,-1.0
